,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
73,31,Orryjar Lane,Paula,Webb,74,Wife,Married,Female,Retired Personnel officer,None,Christian
74,32,Orryjar Lane,Katherine,Hall,29,Head,Divorced,Female,Unemployed,None,Sikh
75,32,Orryjar Lane,Dylan,Hall,4,Son,NA,Male,Child,None,NA
76,33,Orryjar Lane,Grace,Allen,77,Head,Married,Female,"Retired Accountant, chartered public finance",None,Methodist
77,33,Orryjar Lane,Terence,Allen,83,Husband,Married,Male,"Retired Pilot, airline",None,Methodist
78,34,Orryjar Lane,Simon,North,65,Head,Divorced,Male,"Administrator, local government",None,None
79,35,Orryjar Lane,Judith,Williamson,47,Head,Married,Female,Unemployed,None,None
80,35,Orryjar Lane,Lewis,Williamson,50,Husband,Married,Male,"Teacher, primary school",None,None
81,35,Orryjar Lane,Judith,Williamson,33,Daughter,Single,Female,"Librarian, public",None,None
82,35,Orryjar Lane,Dean,Williamson,26,Son,Single,Male,Magazine journalist,None,None
83,35,Orryjar Lane,Margaret,Williamson,25,Daughter,Divorced,Female,Economist,None,None
84,36,Orryjar Lane,Sylvia,Woods,72,Head,Married,Female,Retired Actor,None,Catholic
85,36,Orryjar Lane,Gordon,Woods,74,Husband,Married,Male,Retired Exercise physiologist,None,None
86,37,Orryjar Lane,Martin,Brown,35,Head,Married,Male,Estate manager/land agent,None,Christian
87,37,Orryjar Lane,Joanne,Brown,31,Wife,Married,Female,Counselling psychologist,None,Christian
88,37,Orryjar Lane,Cameron,Brown,2,Son,NA,Male,Child,None,NA
89,38,Orryjar Lane,Geraldine,Warner,74,Head,Married,Female,Retired Volunteer coordinator,None,Christian
90,38,Orryjar Lane,Jake,Warner,79,Husband,Married,Male,Retired Mining engineer,None,None
91,38,Orryjar Lane,Jake,Warner,47,Son,Divorced,Male,Advertising account planner,None,None
92,38,Orryjar Lane,Trevor,Warner,40,Son,Divorced,Male,Unemployed,None,None
93,39,Orryjar Lane,Sarah,Baker,58,Head,Widowed,Female,Unemployed,None,Christian
94,39,Orryjar Lane,Elliot,Baker,39,Son,Single,Male,Aeronautical engineer,None,Christian
95,39,Orryjar Lane,Wayne,Baker,36,Son,Divorced,Male,"Exhibitions officer, museum/gallery",None,Christian
96,39,Orryjar Lane,Maurice,Baker,34,Son,Divorced,Male,"Surveyor, land/geomatics",None,None
97,40,Orryjar Lane,William,Norton,19,Head,Married,Male,University Student,None,None
98,40,Orryjar Lane,Ruth,Norton,19,Wife,Married,Female,University Student,None,None
99,41,Orryjar Lane,Denise,Elliott,59,Head,Divorced,Female,"Horticulturist, commercial",None,Christian
100,41,Orryjar Lane,Anna,Long-Elliott,37,Daughter,Single,Female,Chief Operating Officer,None,None
101,41,Orryjar Lane,Justin,Long-Elliott,35,Son,Divorced,Male,"Engineer, broadcasting (operations)",None,None
102,41,Orryjar Lane,Yvonne,Long-Elliott,32,Daughter,Single,Female,Architect,None,Christian
103,42,Orryjar Lane,Dorothy,Rice,36,Head,Single,Female,Unemployed,None,Christian
104,42,Orryjar Lane,Bernard,Hope,37,Partner,Single,Male,Stage manager,None,Christian
105,43,Orryjar Lane,Jack,Ward,57,Head,Married,Male,"Administrator, arts",None,Christian
106,43,Orryjar Lane,Laura,Ward,55,Wife,Married,Female,"Scientist, research (physical sciences)",None,Christian
107,43,Orryjar Lane,Wayne,Ward,11,Grandson,NA,Male,Student,None,NA
108,44,Orryjar Lane,Jill,Lloyd,73,Head,Married,Female,Retired Broadcast presenter,None,None
109,44,Orryjar Lane,Jeremy,Lloyd,73,Husband,Married,Male,Retired Aid worker,None,None
110,44,Orryjar Lane,Donna,Lloyd,38,Daughter,Divorced,Female,Higher education careers adviser,None,None
111,45,Orryjar Lane,Catherine,Burton,47,Head,Single,Female,Lobbyist,None,Catholic
112,45,Orryjar Lane,Lawrence,Graham,21,None,Single,Male,"Engineer, agricultural",None,Muslim
113,45,Orryjar Lane,Jessica,Brown,32,None,Single,Female,Associate Professor,None,None
114,45,Orryjar Lane,Chloe,Chapman,27,None,Single,Female,Secretary/administrator,None,Methodist
115,46,Orryjar Lane,Kathryn,Skinner,35,Head,Single,Female,Clinical psychologist,None,Catholic
116,46,Orryjar Lane,Roger,Skinner,15,Son,NA,Male,Student,None,NA
117,46,Orryjar Lane,Roy,Skinner,12,Son,NA,Male,Student,None,NA
118,46,Orryjar Lane,Tina,Skinner,11,Daughter,NA,Female,Student,None,NA
119,46,Orryjar Lane,Lorraine,Skinner,7,Daughter,NA,Female,Student,None,NA
120,47,Orryjar Lane,Margaret,Simpson,49,Head,Divorced,Female,Maintenance engineer,None,Christian
121,47,Orryjar Lane,Patrick,Simpson,8,Son,NA,Male,Student,None,NA
122,47,Orryjar Lane,Carl,Simpson,8,Son,NA,Male,Student,None,NA
123,47,Orryjar Lane,Shane,Simpson,4,Son,NA,Male,Child,None,NA
124,48,Orryjar Lane,Graeme,Metcalfe,34,Head,Single,Male,Unemployed,None,Christian
125,48,Orryjar Lane,Terry,Cole,57,Lodger,Single,Male,Human resources officer,None,None
126,49,Orryjar Lane,Stephen,Wilkinson,81,Head,Married,male,Retired Multimedia specialist,None,Christian
127,49,Orryjar Lane,Alison,Wilkinson,80,Wife,Married,Female,Retired Editorial assistant,None,Christian
128,50,Orryjar Lane,Suzanne,Bird,56,Head,Married,Female,Arboriculturist,None,Christian
129,50,Orryjar Lane,Dominic,Bird,52,Husband,Married,Male,Environmental manager,None,None
130,51,Orryjar Lane,Rita,Kaur,45,Head,Married,Female,Landscape architect,None,Christian
131,51,Orryjar Lane,Mitchell,Kaur,47,Husband,Married,Male,Equality and diversity officer,None,None
132,51,Orryjar Lane,Allan,Kaur,8,Son,NA,Male,Student,None,NA
133,1,Protectorate Manors,Marian,Frost,61,Head,Single,Female,"Engineer, energy",None,None
134,2,Protectorate Manors,Callum,Wood,61,Head,Single,Male,Health visitor,None,Methodist
135,3,Protectorate Manors,Terence,Lee,45,Head,Single,Male,Unemployed,None,None
136,4,Protectorate Manors,Kerry,Shaw,37,Head,Single,Female,Proofreader,None,None
137,5,Protectorate Manors,Kate,Fry,27,Head,Divorced,Female,Primary school teacher,None,None
138,6,Protectorate Manors,Shane,Mitchell,72,Head,Widowed,Male,Retired Research scientist (physical sciences),None,None
139,7,Protectorate Manors,Rachael,Marshall,52,Head,Widowed,Female,Adult nurse,None,None
140,8,Protectorate Manors,Sam,Williams,67,Head,Widowed,Male,Insurance risk surveyor,None,Christian
141,9,Protectorate Manors,Mathew,Dixon,23,Head,Single,Male,Secretary/administrator,None,None
142,10,Protectorate Manors,Diana,Holmes,49,Head,Single,Female,Ranger/warden,None,Catholic
143,10,Protectorate Manors,Sally,Holmes,12,Daughter,NA,Female,Student,None,NA
144,11,Protectorate Manors,Toby,Gallagher,30,Head,Divorced,male,Personal assistant,None,None
145,12,Protectorate Manors,Samuel,Moore,83,Head,Widowed,Male,Retired Amenity horticulturist,None,Christian
146,13,Protectorate Manors,Sian,Newman,42,Head,Single,Female,Field trials officer,None,Christian
147,13,Protectorate Manors,Joe,Burns,42,Partner,Single,Male,Network engineer,None,None
148,14,Protectorate Manors,James,Richards,47,Head,Single,Male,"Conservator, museum/gallery",None,None
149,15,Protectorate Manors,Mark,Cartwright,60,Head,Widowed,Male,"Journalist, magazine",None,Methodist
150,15,Protectorate Manors,Katherine,Cartwright,10,Granddaughter,NA,Female,Student,None,NA
151,16,Protectorate Manors,Lawrence,Holmes,32,Head,Single,Male,Sales promotion account executive,None,None
152,17,Protectorate Manors,Stacey,Ellis,76,Head,Single,Female,"Retired Lecturer, higher education",None,Christian
153,18,Protectorate Manors,Valerie,O'Connor,57,Head,Single,Female,Dealer,None,Christian
154,19,Protectorate Manors,Samantha,Wilson,66,Head,Divorced,Female,Financial risk analyst,None,Christian
155,20,Protectorate Manors,Shannon,Hopkins,33,Head,Married,Female,Pathologist,None,None
156,20,Protectorate Manors,Gerard,Hopkins,37,Husband,Married,Male,Jewellery designer,None,None
157,20,Protectorate Manors,Kayleigh,Hopkins,8,Daughter,NA,Female,Student,None,NA
158,21,Protectorate Manors,Megan,Morton,32,Head,Single,Female,Child psychotherapist,None,Catholic
159,21,Protectorate Manors,Damien,Porter,37,Partner,Single,Male,TEFL teacher,None,Catholic
160,21,Protectorate Manors,Douglas,Morton,10,Son,NA,M,Student,None,NA
161,22,Protectorate Manors,Timothy,McCarthy,84,Head,Widowed,Male,Retired Government social research officer,None,Methodist
162,23,Protectorate Manors,Gordon,Price,61,Head,Single,Male,Equality and diversity officer,None,None
163,23,Protectorate Manors,Barry,Jones,12,Grandson,NA,Male,Student,None,NA
164,23,Protectorate Manors,Joan,Ross,11,Granddaughter,NA,Female,Student,None,NA
165,24,Protectorate Manors,Bernard,Brown,71,Head,Widowed,Male,Retired Insurance broker,None,Catholic
166,25,Protectorate Manors,Jemma,Gordon,29,Head,Single,Female,Geoscientist,None,None
167,26,Protectorate Manors,Megan,Smith,40,Head,Single,Female,Associate Professor,None,Christian
168,26,Protectorate Manors,Frank,Lynch,42,Partner,Single,Male,Secretary/administrator,None,Christian
169,27,Protectorate Manors,Jennifer,Burton,29,Head,Divorced,Female,Interior and spatial designer,None,Christian
170,28,Protectorate Manors,Holly,Jackson,23,Head,Divorced,Female,Arboriculturist,None,None
171,29,Protectorate Manors,Glenn,Blackburn,28,Head,Married,Male,Corporate investment banker,None,None
172,29,Protectorate Manors,Michelle,Blackburn,27,Wife,Married,Female,Armed forces logistics/support/administrative officer,None,None
173,30,Protectorate Manors,Elliott,Short,40,Head,Single,Male,Dispensing optician,None,Methodist
174,31,Protectorate Manors,Melissa,Hill,68,Head,Divorced,Female,"Retired Doctor, general practice",None,None
175,32,Protectorate Manors,Ross,Morgan,23,Head,Divorced,Male,Unemployed,None,Muslim
176,33,Protectorate Manors,Bryan,Hill,59,Head,Single,Male,Pathologist,None,Christian
177,34,Protectorate Manors,Leslie,Hall,29,Head,Single,Male,Clinical molecular geneticist,Physical Disability,Christian
178,34,Protectorate Manors,Alison,Miller,29,Partner,Single,Female,Advertising art director,None,Christian
179,35,Protectorate Manors,Angela,Phillips,63,Head,Single,Female,Architectural technologist,None,Christian
180,36,Protectorate Manors,Stephen,Rees,40,Head,Single,Male,Photographer,None,Christian
181,37,Protectorate Manors,Kelly,Hussain,22,Head,Single,Female,University Student,None,Catholic
182,37,Protectorate Manors,Bernard,Cooke,23,Partner,Single,Male,Unemployed,None,None
183,38,Protectorate Manors,Craig,Ali,47,Head,Single,Male,Retail buyer,None,None
184,39,Protectorate Manors,Charlotte,Johnson,58,Head,Divorced,Female,Environmental health practitioner,None,None
185,40,Protectorate Manors,Tina,Harvey,45,Head,Married,Female,Surgeon,None,Christian
186,40,Protectorate Manors,Matthew,Harvey,47,Husband,Married,Male,Civil Service administrator,None,Christian
187,40,Protectorate Manors,Carole,Harvey,19,Daughter,Divorced,Female,Teaching laboratory technician,None,Christian
188,41,Protectorate Manors,Emily,Pearce,22,Head,Married,Female,University Student,None,None
189,41,Protectorate Manors,Connor,Pearce,25,Husband,Married,Male,Corporate treasurer,None,None
190,42,Protectorate Manors,Elliott,Noble,32,Head,Single,Male,Air broker,None,None
191,42,Protectorate Manors,Kelly,Gallagher,31,Partner,Single,Female,Environmental manager,None,None
192,43,Protectorate Manors,Kerry,Perkins,26,Head,Single,Female,Arts administrator,None,Christian
193,1,West Road,Louise,Willis,34,Head,Single,Female,"Therapist, drama",None,None
194,1,West Road,Gerald,Hunter,55,None,Single,Male,Product manager,None,Christian
195,1,West Road,Brandon,Bennett,33,None,Single,Male,Clothing/textile technologist,None,None
196,1,West Road,Sam,Brown,49,None,Single,Male,International aid/development worker,None,Muslim
197,1,West Road,Mitchell,Young,33,None,Single,Male,Secretary/administrator,None,Muslim
198,2,West Road,Carole,Stone,34,Head,Married,Female,Commissioning editor,None,Christian
199,2,West Road,Marc,Stone,33,Husband,Married,Male,Associate Professor,None,None
200,2,West Road,Jason,Stone,16,Son,NA,Male,Student,None,NA
201,3,West Road,Beverley,Curtis,57,Head,Married,Female,Recycling officer,None,None
202,3,West Road,Charlie,Curtis,64,Husband,Married,Male,Holiday representative,None,None
203,3,West Road,Jill,Curtis,28,Daughter,Single,Female,Photographer,None,None
204,3,West Road,Frederick,Curtis,28,Son,Single,Male,Tour manager,None,None
205,3,West Road,Joe,Curtis,17,Son,NA,Male,Student,None,NA
206,4,West Road,Michelle,Lucas,20,Head,Single,Female,University Student,None,None
207,4,West Road,Jayne,Nicholls,20,None,Single,Female,University Student,None,None
208,4,West Road,Michael,Murphy,19,None,Single,Male,University Student,None,Christian
209,5,West Road,Hannah,Payne,59,Head,Single,Female,"Designer, graphic",None,None
210,5,West Road,Graham,Hamilton,42,None,Single,Male,"Engineer, structural",None,Christian
211,5,West Road,Timothy,Kaur,63,None,Single,Male,Mining engineer,None,Christian
212,6,West Road,Annette,Evans,53,Head,Married,Female,"Lecturer, higher education",None,Methodist
213,6,West Road,Terry,Evans,55,Husband,Married,Male,"Producer, television/film/video",None,Methodist
214,6,West Road,Hazel,Evans,23,Daughter,Single,Female,Secretary/administrator,None,None
215,7,West Road,Amelia,Martin,63,Head,Married,Female,"Surveyor, land/geomatics",None,Christian
216,7,West Road,Max,Martin,63,Husband,Married,Male,International aid/development worker,None,Christian
217,7,West Road,Jean,Martin,31,Daughter,Divorced,Female,Musician,None,None
218,8,West Road,Anna,Andrews,36,Head,Single,Female,Armed forces logistics/support/administrative officer,None,Christian
219,9,West Road,Hollie,Matthews,69,Head,Married,Female,Retired Speech and language therapist,None,None
220,9,West Road,Ronald,Matthews,71,Husband,Married,Male,Retired Museum/gallery curator,None,None
221,9,West Road,Daniel,Matthews,30,Son,Divorced,Male,Art therapist,None,None
222,10,West Road,Damien,Watts,56,Head,Married,Male,"Psychotherapist, child",None,None
223,10,West Road,Pamela,Watts,52,Wife,Married,Female,"Journalist, magazine",None,None
224,11,West Road,Kate,Nolan,60,Head,Married,Female,"Therapist, sports",None,Methodist
225,11,West Road,Terence,Nolan,59,Husband,Married,Male,"Scientist, forensic",None,None
226,11,West Road,Cheryl,Nolan,29,Daughter,Divorced,Female,Nutritional therapist,None,Methodist
227,12,West Road,Bethany,McDonald,35,Head,Married,Female,Unemployed,None,Christian
228,12,West Road,Geoffrey,McDonald,37,Husband,Married,Male,"Librarian, public",None,None
229,12,West Road,Antony,Warren-McDonald,15,Son,NA,Male,Student,None,NA
230,13,West Road,Dennis,Watson,67,Head,Married,Male,Recycling officer,None,Methodist
231,13,West Road,Zoe,Watson,67,Wife,Married,Female,Paediatric nurse,None,None
232,14,West Road,Christine,Johnson,62,Head,Married,Female,Banker,None,Methodist
233,14,West Road,Damian,Johnson,63,Husband,Married,Male,"Teacher, primary school",None,None
234,14,West Road,Patrick,Johnson,35,Son,Single,Male,Marketing executive,None,None
235,14,West Road,Paula,Johnson,32,Daughter,Divorced,Female,Tree surgeon,None,Methodist
236,15,West Road,Molly,Morris,39,Head,Divorced,Female,"Investment banker, operational",None,Christian
237,15,West Road,Jacqueline,Sharpe,6,Daughter,NA,Female,Student,None,NA
238,15,West Road,Marcus,Sharpe,2,Son,NA,Male,Child,None,NA
239,16,West Road,Hazel,Watkins,59,Head,Married,Female,Printmaker,None,Christian
240,16,West Road,James,Watkins,64,Husband,Married,male,Chartered legal executive (England and Wales),None,Christian
241,16,West Road,Elliott,Watkins,42,Son,Single,Male,"Therapist, occupational",None,Christian
242,17,West Road,Catherine,Watson,33,Head,Single,Female,Writer,None,Christian
243,17,West Road,Leah,Watson,5,Daughter,NA,Female,Student,None,NA
244,17,West Road,Danny,Watson,4,Son,NA,Male,Child,None,NA
245,18,West Road,Naomi,Price,45,Head,Single,Female,Press photographer,None,Christian
246,19,West Road,Anna,Brooks,50,Head,Married,Female,"Investment banker, operational",None,Catholic
247,19,West Road,Barry,Brooks,52,Husband,Married,Male,"Teacher, music",None,None
248,19,West Road,Hazel,Brooks,25,Daughter,Single,Female,Chartered loss adjuster,None,None
249,20,West Road,Jane,Begum,32,Head,Married,Female,Solicitor,None,Christian
250,20,West Road,Owen,Begum,34,Husband,Married,Male,Arboriculturist,None,Christian
251,20,West Road,Tina,Begum,0,Daughter,NA,Female,Child,None,NA
252,20,West Road,Douglas,Pearson,32,Sibling,Divorced,Male,Soil scientist,None,Catholic
253,21,West Road,Dale,Carr,42,Head,Married,Male,Press photographer,None,Christian
254,21,West Road,Susan,Carr,40,Wife,Married,Female,Chartered legal executive (England and Wales),None,Christian
255,21,West Road,Ruth,Carr,6,Daughter,NA,Female,Student,None,NA
256,22,West Road,Kayleigh,Anderson,24,Head,Single,Female,Banker,None,Methodist
257,23,West Road,Chelsea,Cooke,48,Head,Married,Female,Toxicologist,None,Christian
258,23,West Road,Denis,Cooke,50,Husband,Married,Male,Product designer,None,None
259,23,West Road,Marie,Cooke,9,Daughter,NA,Female,Student,None,NA
260,24,West Road,Anna,Jackson,32,Head,Divorced,Female,Social researcher,None,Catholic
261,24,West Road,Mohammed,Jackson,7,Son,NA,Male,Student,None,NA
262,24,West Road,Maurice,Jackson,5,Son,NA,Male,Student,None,NA
263,25,West Road,Dawn,Ahmed,20,Head,Married,Female,University Student,None,Catholic
264,25,West Road,Rhys,Ahmed,22,Husband,Married,Male,University Student,None,Catholic
265,26,West Road,Ruth,Smith,42,Head,Married,Female,Optometrist,None,None
266,26,West Road,Nathan,Smith,45,Husband,Married,Male,Fashion designer,None,None
267,26,West Road,Sean,Smith,18,Son,Single,Male,Student,None,None
268,26,West Road,Clare,Smith,13,Daughter,NA,Female,Student,None,NA
269,27,West Road,Jane,Fleming,49,Head,Divorced,Female,Arts development officer,None,None
270,27,West Road,Katherine,Fleming,12,Daughter,NA,Female,Student,None,NA
271,28,West Road,Clifford,Barnett,34,Head,Married,Male,Energy manager,None,None
272,28,West Road,Georgina,Barnett,32,Wife,Married,Female,Electrical engineer,None,None
273,29,West Road,Helen,Green,26,Head,Divorced,Female,Education administrator,None,None
274,29,West Road,Gemma,Green,6,Daughter,NA,Female,Student,None,NA
275,30,West Road,Kate,Stanley,63,Head,Single,Female,Stage manager,None,Methodist
276,31,West Road,Michelle,Clarke,68,Head,Married,Female,Retired Catering manager,None,Christian
277,31,West Road,Martyn,Clarke,71,Husband,Married,Male,Retired Agricultural consultant,None,Christian
278,31,West Road,Carole,Clarke,17,Granddaughter,NA,Female,Student,None,NA
279,32,West Road,Mandy,Matthews,42,Head,Married,Female,Hotel manager,None,Methodist
280,32,West Road,Trevor,Matthews,45,Husband,Married,Male,Financial trader,None,Methodist
281,32,West Road,Ricky,Matthews,6,Son,NA,Male,Student,None,NA
282,33,West Road,Louise,Cooper,33,Head,Married,Female,Computer games developer,None,Methodist
283,33,West Road,Craig,Cooper,32,Husband,Married,Male,English as a foreign language teacher,None,None
284,33,West Road,Lee,Cooper,10,Son,NA,Male,Student,None,NA
285,34,West Road,Suzanne,Wall,31,Head,Married,Female,"Surveyor, insurance",None,None
286,34,West Road,Adam,Wall,34,Husband,Married,Male,"Scientist, marine",None,None
287,34,West Road,Gemma,Wall,4,Daughter,NA,Female,Child,None,NA
288,34,West Road,Jack,Wall,2,Son,NA,Male,Child,None,NA
289,34,West Road,Tom,Osborne,36,Lodger,Single,male,Economist,None,None
290,34,West Road,Hilary,Ward,19,Lodger,Divorced,Female,University Student,None,None
291,35,West Road,Kathryn,Green,31,Head,Married,Female,Hotel manager,None,None
292,35,West Road,Harry,Green,30,Husband,Married,Male,"Accountant, chartered",None,None
293,35,West Road,Conor,Green,5,Son,NA,Male,Student,None,NA
294,35,West Road,Lucy,Green,4,Daughter,NA,Female,Child,None,NA
295,36,West Road,Joshua,Walsh,19,Head,Single,Male,University Student,None,Christian
296,36,West Road,Judith,Moore,21,None,Single,Female,University Student,None,Catholic
297,36,West Road,Caroline,Holmes,20,None,Single,Female,University Student,None,None
298,37,West Road,Amy,Steele,48,Head,Single,Female,Nutritional therapist,None,Christian
299,37,West Road,Harriet,Steele,10,Daughter,NA,Female,Student,None,NA
300,37,West Road,Shane,Steele,6,Son,NA,Male,Student,None,NA
301,38,West Road,Ann,Carr,35,Head,Divorced,Female,Unemployed,None,Catholic
302,38,West Road,Patrick,Carr,7,Son,NA,Male,Student,None,NA
303,38,West Road,Leah,Carr,5,Daughter,NA,Female,Student,None,NA
304,39,West Road,Paige,Farrell,37,Head,Single,Female,Retail merchandiser,None,None
305,39,West Road,Maurice,Baker,39,Partner,Single,Male,Television production assistant,None,None
306,39,West Road,Valerie,Farrell,13,Daughter,NA,Female,Student,None,NA
307,39,West Road,Jayne,Farrell,12,Daughter,NA,Female,Student,None,NA
308,40,West Road,Charlotte,Dixon,38,Head,Married,Female,TEFL teacher,None,Catholic
309,40,West Road,Keith,Dixon,49,Husband,Married,Male,Event organiser,None,Catholic
310,40,West Road,Phillip,Reid-Dixon,5,Son,NA,Male,Student,None,NA
